StudyTitle,Abstract_manual
Climate Change Adaptation and Disaster Risk Management in Agriculture - Priority Framework for Action 2011-2020,"A comprehensive priority framework to support and provide strategic direction to the Ministry of Agriculture and Cooperatives, its technical services and agencies for the implementation of Climate Change Adaptation and Disaster Risk Management (DRM) priorities in Agriculture and allied sectors in Nepal."
National Institutional Assessment on the Integration of Disaster Risk Management(DRM) into the Agriculture Sector of Pakistan,"Agriculture, the mainstay of Pakistan's economy, is very exposed to extreme weather events with the impacts of climate change. Based on the floods and droughts experienced in recent years, it is evident that a strong commitment to enhancing the resilience of the agriculture sector is urgently needed. This will require increased investment, improved governance, and considerable work on policies and strategies at the national and sub-national levels. Before we can successfully integrate Disaster Risk Reduction and Management (DRR/M) into the agricultural sector, it is essential to study and attempt to mitigate the existing vulnerabilities and sensitivities. We must endeavour to promote climate smart agriculture and early warning systems. We require inclusive training programs for institutional capacity building at different levels, with clear roles and responsibilities, and context specific technical knowledge of DRM measures. The underpinning element that spells success for these measures is community based disaster risk management."
Cultivating Ice over time: On the Idea of timeless knowledge and places in the himalayas,"Assumptions that local communities have an endogenous capacity to adapt to climate change stemming from time-tested knowledge and an inherent sense of community that prompts mobilisation are becoming increasingly common in material produced by international organisations. This discourse, which relies on ahistorical and apolitical conceptions of localities and populations, is based on ideas of timeless knowledge and places. Analysing the water-place nexus in Ladakh, in the Indian Himalayas, through a close study of glacier practices as they change over time, the article argues that local knowledge is subject to change and must be analysed in light of changing conceptions and experiences of place by the state and by local populations alike."
Raising Awareness of the Impacts of Climate Change: Initial Steps in Shaping Policy in Nepal,"Climate change is happening and people have begun to feel its impacts on their daily lives. Clear indications of these impacts can be seen on Himalayan glaciers, which are melting at rapid rates and consequently form massive glacial lakes (Figure 1), with a risk of catastrophic glacial lake outburst floods (GLOFs). GLOFs result in loss of lives, property, and costly infrastructure, as well as displacement of local people. They represent a particular threat in Nepal, where resources are already scarce. In least developed countries (LDCs) like Nepal, where poverty reduction is a national priority, the impact of climate change appears to be an obstacle to the process of sustainable development. Institutionalizing the climate change issue in national policies has now become an urgent need rather than a choice. As a signatory to the United Nations Framework Convention on Climate Change (UNFCCC), Nepal has agreed to take climate change considerations into account in its national development agenda. The first step was the ratification of the Kyoto Protocol; the second is building the necessary institutional services such as a Designated National Authority (DNA), which is in the process of establishment. Moreover, climate change policies and strategies, the interconnections between different sectors, and coordination among different line ministries and government departments are issues to be addressed in the near future. WWF has initiated a Climate Witness Project to raise national and international awareness, and supports national efforts to shape adequate institutional responses to climate change."
Agricultural development under a changing climate : opportunities and challenges for adaptation,"Climate change presents a profound challenge to food security and development. Negative impacts from climate change are likely to be greatest in regions that are currently food insecure and may even be significant in those regions that have made large gains in reducing food insecurity over the past half-century. Adaptation in the agricultural sector is being given a high priority within this effort because of the inherent sensitivity of food production to climate and the strong inter-linkages that exist between climate, agriculture, and economic growth and development. The purpose of this report is to review the major effects of climate change on the agricultural sector; to examine the causes of vulnerability; and to suggest a range of potential options and investment opportunities for supporting adaptation efforts and, more generally, for building adaptive capacity. This report primarily focuses on appropriate strategies for adapting to climate change impacts that are projected to occur over the next one to two decades, although several issues covered in this report are important for long-term adaptation needs as well. This report also describes opportunities for linking adaptation and mitigation, and it discusses the importance of mainstreaming adaptation into development."
Assessing the potential consequences of climate destabilization in Latin America,"Estimating the potential costs of climate destabilization is not a trivial matter. Potential climate impacts have multiple consequences, some of which can be monetized while others are beyond the reach of standard economic tools. A full assessment of the implications of climate impacts often cannot be completed because many of the consequences are only partly known. This report summarizes data recently made available, through the portfolio of adaptation activities in the region, on some of the damages induced by climate destabilization. These include impacts from hurricane intensification, glacier retreat, and increased exposure to tropical vector diseases, coral bleaching, and composite costs of climate change in the particularly vulnerable Caribbean Basin. Other costs are becoming evident but they still cannot be estimated. Most worrisome among these are the potential implications from Amazon dieback which, if realized, will drastically affect the water cycle in the region as well as environmental services essential to economic activity in the region, with wider global implications. The report refers to destabilization in the title as recognition, that the region is now facing impacts from major, destabilizing changes in its climate."
"Mountain Forests in a Changing World: Realizing values, addressing challenges","Forests play a key role in mountain areas, providing goods and services essential to the livelihood of both highland and lowland communities. Freshwater streaming down from mountains is accessible to more than half of the world's population and available for the most varied needs, such as drinking, cooking and washing, farming, hydropower, industry and transportation. The biodiversity stored in healthy mountain forests provides a range of products, such as timber, fuel, medicinal and aromatic plants, fodder and a wide variety of foods that ensure the well-being of local populations. Mountain forests also occupy a crucial position in terms of climate change, representing fundamental ecosystems for the health of the planet. This publication is intended to raise awareness of the global importance and the need for sustainable management of these unique ecosystems. It was prepared in 2011, to coincide with the world's celebration of the International Year of Forests as well as of the International Mountain Day on December 11th, dedicated to the theme of mountain forests. To mark these occasions, the Mountain Partnership Secretariat at the Food and Agriculture Organization of the United Nations (FAO) and the Swiss Agency for Development and Cooperation (SDC) have jointly issued this volume, the fourth of a series, including Mountains and Climate Change, Mountain Biodiversity and Global Change, and Highlands and Drylands. Hoping that, through this publication, communities, scientists and policy makers at national and international level will support the creation and implementation of long-term policies in order to conserve and protect these fundamental ecosystems and to benefit and improve the lives of their people for the benefit of both mountain people and inhabitants of adjacent lowlands."
"Evolution of Access Routes to High Mountain Refuges of the Mer de Glace Basin (Mont Blanc Massif, France)","Glacial shrinkage and the gravitational processes associated with it, which are characteristic of global warming effects in high mountain environments, are affecting mountaineering routes more and more, including access routes to high altitude refuges. These changes have almost never been studied. Also, this research seeks to identify and explain the evolution of access trails to five refuges, located in the Mer de Glace basin (Mont Blanc massif), over more than a century. This glacier is the largest in France (L = 11.5 km, SA = 30 km2) is a major Alpine tourist attraction since 1741 and is the birthplace of mountaineering. This work is based on a three-step methodology: 1) collection and analysis of maps, climbing guidebooks and photographs, 2) semi-structured interviews and 3) analysis of high-resolution digital terrain models obtained through terrestrial laser scanning. While there was not a significant evolution during most of the 20th century, glacier thickness loss and the associated erosion of lateral moraines have resulted in numerous modifications made to the access trails since the 1990s. Despite these adaptations, the danger they pose continues to rise, and the necessity to equip them is ever more important (633 m. of ladders at present), which raises doubts about the future accessibility of such high mountain refuges."
Convenient solutions to an inconvenient truth: ecosystem-based approaches to climate change,"Global warming and changes in climate have already had observed impacts on natural ecosystems and species. Natural systems such as wetlands, mangroves, coral reefs, cloud forests, and Arctic and high-latitude ecosystems are especially vulnerable to climate-induced disturbances. However, enhanced protection and management of biological resources and habitats can mitigate the impacts and contribute to solutions as nations and communities strive to adapt to climate change. Biodiversity is the foundation and mainstay of agriculture, forests, and fisheries. Biological resources provide the raw materials for livelihoods, agriculture, medicines, trade, tourism, and industry. Forests, grasslands, freshwater, and marine and other natural ecosystems provide a range of services often not recognized in national economic accounts but vital to human welfare: regulation of water flows and water quality, flood control, pollination, decontamination, carbon sequestration, soil conservation, and nutrient and hydrological cycling. Current efforts to address climate change focus mainly on reducing greenhouse gas (GHG) emissions by adopting cleaner energy strategies and on reducing the vulnerability of communities at risk by improving infrastructure to meet new energy and water needs. This book offers a compelling argument for including ecosystem-based approaches to mitigation and adaptation as an essential pillar in national strategies to address climate change. Such ecosystem-based strategies can offer cost-effective, proven, and sustainable solutions that contribute to, and complement, other national and regional adaptation strategies."
Robust Decision-Making in the Water Sector: A Strategy for Implementing Limaâ€™s Long-Term Water Resources Master PlanÂ ,"How can water resource agencies make smart investments to ensure long-term water reliability when the future is fraught with deep climate and economic uncertainty? This study helped SEDAPAL, the water utility serving Lima, Peru, answer this question by drawing on state of the art methods for decision making under deep uncertainty. These methods provide techniques for evaluating the performance of a water system over a wide range of plausible futures and then developing strategies that are robust across these futures. Rather than weighting futures probabilistically to define an optimal strategy, these methodologies identify the vulnerabilities of a system and then evaluate the key trade-offs among different adaptive strategies. Through extensive iteration and collaboration with SEDAPAL, the study used these methods to define an investment strategy that is robust, ensuring water reliability across as wide a range of future conditions as possible while also being economically efficient. First,on completion, the study helped SEDAPAL realize that not all projects included in the Master Plan were necessary to achieve water reliability, and the utility could save 25 percent (more than $600 million) in investment costs. Second, the study helped focus future efforts on demand-side management, pricing, and soft infrastructure, a refocusing that is difficult to achieve in traditional utility companies. Third, the study helped SEDAPAL gain the support of regulatory and budget agencies through the careful analysis of alternatives. Fourth, the study allowed the utility to postpone lower priority investments, and to analyze future options based on climate and demand information that simply is not available now."
Reducing the vulnerability of Georgia's agricultural systems to climate change: Impact assessment and adaptation options,"In countries such as Georgia, the risks of climate change for the agricultural sector are a particularly immediate and important problem because the majority of the rural population depends either directly or indirectly on agriculture for their livelihoods. The most effective plans for adapting the sector to climate change will involve both human capital and physical capital enhancements; however, many of these investments can also enhance agricultural productivity right now, under current climate conditions. Recommendations, such as improving the accessibility to farmers of agriculturally relevant weather forecasts, will yield benefits as soon as they are implemented and provide a means for farmers to autonomously adapt their practices as climate changes. In response to these challenges, the World Bank and the Government of Georgia embarked on a joint study to identify and prioritize options for climate change adaptation of the agricultural sector, with explicit consideration of greenhouse gas emission reduction potential of these options. The study was conducted in three stages: awareness raising; quantitative and qualitative analysis; and finalization of the analysis and menu of adaptation options. This report provides a menu of options for climate change adaptation in the agricultural and water resources sectors, along with specific recommended actions that are tailored to distinct agricultural regions within Georgia. This report provides a summary of the methods, data, results, and recommendations for each of these activities, which were reviewed by local counterparts at the October 8, 2012, national dissemination and consensus building conference."
