,StudyID,StudyTitle,StudyAuthors,StudyLoc,lats,longs,Scale,Year,Type_A,Type_B,StudyDesc,Abstract,freeTextLookup
0,10.1659/MRD-JOURNAL-D-14-00096.1,Why Mountains Matter for Sustainable Development,"Wehrli, A.",,30.08816699999999,-94.129919,7,2014.0,,Regional,Introduces the SMD4GC program,"Abstract Mountains are key contexts for sustainable development because of their provision of indispensable goods and services. Still, they are among the most disadvantaged regions in the world, with the highest poverty rates and some of the greatest vulnerability to global climatic, environmental, and socioeconomic change and related risks. The existing challenges of and increasing pressure on mountain people and resources enforce unsustainable land management practices and land abandonment, which in turn might imperil the provision of key mountain services. With its new international program Promoting Sustainable Mountain Development for Global Change, Switzerland continues its support for the sustainable mountain development agenda to increase the resilience of mountain populations.Mountains are key contexts for sustainable development because of their provision of indispensable goods and services. Still, they are among the most disadvantaged regions in the world, with the highest poverty rates and some of the greatest vulnerability to global climatic, environmental, and socioeconomic change and related risks. The existing challenges of and increasing pressure on mountain people and resources enforce unsustainable land management practices and land abandonment, which in turn might imperil the provision of key mountain services. With its new international program Promoting Sustainable Mountain Development for Global Change, Switzerland continues its support for the sustainable mountain development agenda to increase the resilience of mountain populations.",
1,,Outlook on climate change adaptation in the Western Balkan mountains.,UNDP/GRID - Arednal,"Albania General, Albania",41.3275459,19.8186982,6,2015.0,"Institutional,Regulatory",Regional,Coded information on Albania which was scattered throughout the document. Only coded adaptations that were clearly occuring in Albania - because the information was sacttered throughout the entire document it was sometimes unclear whether adaptations they were speaking to were general or specific to a certain region. Only coded clear specific adaptation examples. ,No abstract avialable,No abstract avialable Outlook on climate change adaptation in the Western Balkan mountains UNDP GRID Arednal Albania General Albania
2,,Outlook on climate change adaptation in the Western Balkan mountains.,UNDP/GRID - Arednal,"Albania General, Albania",41.3275459,19.8186982,6,2015.0,"Institutional,Regulatory",Regional,Coded information on Albania which was scattered throughout the document. Only coded adaptations that were clearly occuring in Albania - because the information was sacttered throughout the entire document it was sometimes unclear whether adaptations they were speaking to were general or specific to a certain region. Only coded clear specific adaptation examples. ,No abstract avialable,No abstract avialable Outlook on climate change adaptation in the Western Balkan mountains UNDP GRID Arednal Albania General Albania
3,,Outlook on climate change adaptation in the Western Balkan mountains.,UNDP/GRID - Arednal,"Albania General, Albania",41.3275459,19.8186982,6,2015.0,"Institutional,Regulatory",Regional,Coded information on Albania which was scattered throughout the document. Only coded adaptations that were clearly occuring in Albania - because the information was sacttered throughout the entire document it was sometimes unclear whether adaptations they were speaking to were general or specific to a certain region. Only coded clear specific adaptation examples. ,No abstract avialable,No abstract avialable Outlook on climate change adaptation in the Western Balkan mountains UNDP GRID Arednal Albania General Albania
4,,Outlook on climate change adaptation in the Western Balkan mountains.,UNDP/GRID - Arednal,"Albania General, Albania",41.3275459,19.8186982,6,2015.0,"Institutional,Regulatory",Regional,Coded information on Albania which was scattered throughout the document. Only coded adaptations that were clearly occuring in Albania - because the information was sacttered throughout the entire document it was sometimes unclear whether adaptations they were speaking to were general or specific to a certain region. Only coded clear specific adaptation examples. ,No abstract avialable,No abstract avialable Outlook on climate change adaptation in the Western Balkan mountains UNDP GRID Arednal Albania General Albania
5,,Outlook on climate change adaptation in the Western Balkan mountains.,UNDP/GRID - Arednal,"Albania General, Albania",41.3275459,19.8186982,6,2015.0,"Institutional,Regulatory",Regional,Coded information on Albania which was scattered throughout the document. Only coded adaptations that were clearly occuring in Albania - because the information was sacttered throughout the entire document it was sometimes unclear whether adaptations they were speaking to were general or specific to a certain region. Only coded clear specific adaptation examples. ,No abstract avialable,No abstract avialable Outlook on climate change adaptation in the Western Balkan mountains UNDP GRID Arednal Albania General Albania
6,,Outlook on climate change adaptation in the Western Balkan mountains.,UNDP/GRID - Arednal,"Albania General, Albania",41.3275459,19.8186982,6,2015.0,"Institutional,Regulatory",Regional,Coded information on Albania which was scattered throughout the document. Only coded adaptations that were clearly occuring in Albania - because the information was sacttered throughout the entire document it was sometimes unclear whether adaptations they were speaking to were general or specific to a certain region. Only coded clear specific adaptation examples. ,No abstract avialable,No abstract avialable Outlook on climate change adaptation in the Western Balkan mountains UNDP GRID Arednal Albania General Albania
7,,Outlook on climate change adaptation in the Western Balkan mountains.,UNDP/GRID - Arednal,"Albania General, Albania",41.3275459,19.8186982,6,2015.0,"Institutional,Regulatory",Regional,Coded information on Albania which was scattered throughout the document. Only coded adaptations that were clearly occuring in Albania - because the information was sacttered throughout the entire document it was sometimes unclear whether adaptations they were speaking to were general or specific to a certain region. Only coded clear specific adaptation examples. ,No abstract avialable,No abstract avialable Outlook on climate change adaptation in the Western Balkan mountains UNDP GRID Arednal Albania General Albania
8,,Outlook on climate change adaptation in the Western Balkan mountains.,UNDP/GRID - Arednal,"Albania General, Albania",41.3275459,19.8186982,6,2015.0,"Institutional,Regulatory",Regional,Coded information on Albania which was scattered throughout the document. Only coded adaptations that were clearly occuring in Albania - because the information was sacttered throughout the entire document it was sometimes unclear whether adaptations they were speaking to were general or specific to a certain region. Only coded clear specific adaptation examples. ,No abstract avialable,No abstract avialable Outlook on climate change adaptation in the Western Balkan mountains UNDP GRID Arednal Albania General Albania
9,,Outlook on climate change adaptation in the Western Balkan mountains.,UNDP/GRID - Arednal,"Albania General, Albania",41.3275459,19.8186982,6,2015.0,"Institutional,Regulatory",Regional,Coded information on Albania which was scattered throughout the document. Only coded adaptations that were clearly occuring in Albania - because the information was sacttered throughout the entire document it was sometimes unclear whether adaptations they were speaking to were general or specific to a certain region. Only coded clear specific adaptation examples. ,No abstract avialable,No abstract avialable Outlook on climate change adaptation in the Western Balkan mountains UNDP GRID Arednal Albania General Albania
